year,iso,nb_accords,statut,premiere_participation
2010,ARE,2,Ad hoc,1979
2010,AUS,29,,1966
2010,AUT,259,,1956
2010,BEL,297,,1956
2010,BRA,78,,1985
2010,CAN,236,,1965
2010,CHE,231,,1992
2010,CHN,3,Ad hoc,
2010,CZE,1,Ad hoc,
2010,DEU,380,,1956
2010,DNK,164,,1956
2010,ESP,276,,1965
2010,FIN,85,,1978
2010,FRA,459,,1956
2010,GBR,375,,1956
2010,HUN,1,Ad hoc,
2010,IND,4,Ad hoc,1922
2010,IRL,4,,1986
2010,ISR,38,,1983
2010,ITA,377,,1956
2010,JPN,328,,1964
2010,KOR,28,,1998
2010,KWT,8,Ad hoc,1985
2010,NLD,297,,1956
2010,NOR,154,,1956
2010,NZL,7,Ad hoc,1966
2010,PRT,19,Ad hoc,1983
2010,RUS,89,,1997
2010,SAU,3,Ad hoc,
2010,SWE,170,,1956
2010,TTO,3,Ad hoc,1996
2010,USA,364,,1964
2010,ZAF,10,Prospectif,1984
2011,ARE,2,Ad hoc,1979
2011,AUS,29,,1966
2011,AUT,259,,1956
2011,BEL,297,,1956
2011,BRA,78,,1985
2011,CAN,236,,1965
2011,CHE,231,,1992
2011,CHN,3,Ad hoc,
2011,CZE,1,Ad hoc,
2011,DEU,380,,1956
2011,DNK,164,,1956
2011,ESP,276,,1965
2011,FIN,85,,1978
2011,FRA,459,,1956
2011,GBR,375,,1956
2011,HUN,1,Ad hoc,
2011,IND,4,Ad hoc,1922
2011,IRL,4,,1986
2011,ISR,38,,1983
2011,ITA,377,,1956
2011,JPN,328,,1964
2011,KOR,28,,1998
2011,KWT,8,Ad hoc,1985
2011,NLD,297,,1956
2011,NOR,154,,1956
2011,NZL,7,Ad hoc,1966
2011,PRT,19,Ad hoc,1983
2011,RUS,89,,1997
2011,SAU,3,Ad hoc,
2011,SWE,170,,1956
2011,TTO,3,Ad hoc,1996
2011,USA,364,,1964
2011,ZAF,10,Prospectif,1984
2012,ARE,2,Ad hoc,1979
2012,AUS,29,,1966
2012,AUT,259,,1956
2012,BEL,297,,1956
2012,BRA,78,,1985
2012,CAN,236,,1965
2012,CHE,231,,1992
2012,CHN,3,Ad hoc,
2012,CZE,1,Ad hoc,
2012,DEU,380,,1956
2012,DNK,164,,1956
2012,ESP,276,,1965
2012,FIN,85,,1978
2012,FRA,459,,1956
2012,GBR,375,,1956
2012,HUN,1,Ad hoc,
2012,IND,4,Ad hoc,1922
2012,IRL,4,,1986
2012,ISR,38,,1983
2012,ITA,377,,1956
2012,JPN,328,,1964
2012,KOR,28,,1998
2012,KWT,8,Ad hoc,1985
2012,NLD,297,,1956
2012,NOR,154,,1956
2012,NZL,7,Ad hoc,1966
2012,PRT,19,Ad hoc,1983
2012,RUS,89,,1997
2012,SAU,3,Ad hoc,
2012,SWE,170,,1956
2012,TTO,3,Ad hoc,1996
2012,USA,364,,1964
2012,ZAF,10,Prospectif,1984
2013,ARE,2,Ad hoc,1979
2013,AUS,29,,1966
2013,AUT,259,,1956
2013,BEL,297,,1956
2013,BRA,78,,1985
2013,CAN,236,,1965
2013,CHE,231,,1992
2013,CHN,3,Ad hoc,
2013,CZE,1,Ad hoc,
2013,DEU,380,,1956
2013,DNK,164,,1956
2013,ESP,276,,1965
2013,FIN,85,,1978
2013,FRA,459,,1956
2013,GBR,375,,1956
2013,HUN,1,Ad hoc,
2013,IND,4,Ad hoc,1922
2013,IRL,4,,1986
2013,ISR,38,,1983
2013,ITA,377,,1956
2013,JPN,328,,1964
2013,KOR,28,,1998
2013,KWT,8,Ad hoc,1985
2013,NLD,297,,1956
2013,NOR,154,,1956
2013,NZL,7,Ad hoc,1966
2013,PRT,19,Ad hoc,1983
2013,RUS,89,,1997
2013,SAU,3,Ad hoc,
2013,SWE,170,,1956
2013,TTO,3,Ad hoc,1996
2013,USA,364,,1964
2013,ZAF,10,Prospectif,1984
2014,ARE,2,Ad hoc,1979
2014,AUS,29,,1966
2014,AUT,259,,1956
2014,BEL,297,,1956
2014,BRA,78,,1985
2014,CAN,236,,1965
2014,CHE,231,,1992
2014,CHN,3,Ad hoc,
2014,CZE,1,Ad hoc,
2014,DEU,380,,1956
2014,DNK,164,,1956
2014,ESP,276,,1965
2014,FIN,85,,1978
2014,FRA,459,,1956
2014,GBR,375,,1956
2014,HUN,1,Ad hoc,
2014,IND,4,Ad hoc,1922
2014,IRL,4,,1986
2014,ISR,38,,1983
2014,ITA,377,,1956
2014,JPN,328,,1964
2014,KOR,28,,1998
2014,KWT,8,Ad hoc,1985
2014,NLD,297,,1956
2014,NOR,154,,1956
2014,NZL,7,Ad hoc,1966
2014,PRT,19,Ad hoc,1983
2014,RUS,89,,1997
2014,SAU,3,Ad hoc,
2014,SWE,170,,1956
2014,TTO,3,Ad hoc,1996
2014,USA,364,,1964
2014,ZAF,10,Prospectif,1984
2015,ARE,2,Ad hoc,1979
2015,AUS,29,,1966
2015,AUT,259,,1956
2015,BEL,297,,1956
2015,BRA,78,,1985
2015,CAN,236,,1965
2015,CHE,231,,1992
2015,CHN,3,Ad hoc,
2015,CZE,1,Ad hoc,
2015,DEU,380,,1956
2015,DNK,164,,1956
2015,ESP,276,,1965
2015,FIN,85,,1978
