year,iso,apd_eur,napd_eur
2010,AFG,111000000.00,957000000.00
2010,AGO,183000000.00,0.00
2010,ALB,466000000.00,36000000.00
2010,ARG,923000000.00,5820000000.00
2010,ATG,4000000.00,97000000.00
2010,BDI,2000000.00,2000000.00
2010,BEN,13000000.00,38000000.00
2010,BFA,117000000.00,0.00
2010,BGR,378000000.00,415000000.00
2010,BIH,220000000.00,543000000.00
2010,BOL,89000000.00,6000000.00
2010,BRA,1315000000.00,1583000000.00
2010,CAF,0.00,6000000.00
2010,CHL,151000000.00,4000000.00
2010,CIV,3711000000.00,2658000000.00
2010,CMR,991000000.00,30000000.00
2010,COD,2379000000.00,4037000000.00
2010,COG,341000000.00,546000000.00
2010,COM,3000000.00,12000000.00
2010,CPV,35000000.00,18000000.00
2010,CRI,322000000.00,0.00
2010,DJI,71000000.00,38000000.00
2010,DMA,8000000.00,10000000.00
2010,DOM,394000000.00,264000000.00
2010,DZA,1274000000.00,4798000000.00
2010,ECU,580000000.00,462000000.00
2010,EGY,0.00,5568000000.00
2010,ETH,314000000.00,163000000.00
2010,FJI,19000000.00,1000000.00
2010,GAB,141000000.00,203000000.00
2010,GEO,298000000.00,120000000.00
2010,GHA,457000000.00,469000000.00
2010,GIN,343000000.00,404000000.00
2010,GMB,2000000.00,1000000.00
2010,GNB,12000000.00,117000000.00
2010,GNQ,0.00,22000000.00
2010,GRD,5000000.00,9000000.00
2010,GTM,319000000.00,0.00
2010,GUY,5000000.00,0.00
2010,HND,174000000.00,13000000.00
2010,HRV,5000000.00,0.00
2010,HTI,0.00,0.00
2010,IDN,31726000000.00,8954000000.00
2010,IRQ,389000000.00,9311000000.00
2010,JAM,387000000.00,12000000.00
2010,JOR,2128000000.00,567000000.00
2010,KEN,2069000000.00,243000000.00
2010,KGZ,413000000.00,513000000.00
2010,KHM,470000000.00,1404000000.00
2010,KNA,7000000.00,0.00
2010,LBR,237000000.00,73000000.00
2010,LCA,14000000.00,0.00
2010,LKA,5396000000.00,80000000.00
2010,LSO,16000000.00,0.00
2010,MAR,4482000000.00,102000000.00
2010,MDA,10000000.00,150000000.00
2010,MDG,237000000.00,89000000.00
2010,MDV,41000000.00,0.00
2010,MEX,1104000000.00,3765000000.00
2010,MKD,163000000.00,1000000.00
2010,MLI,59000000.00,16000000.00
2010,MMR,3148000000.00,552000000.00
2010,MNE,47000000.00,194000000.00
2010,MOZ,193000000.00,160000000.00
2010,MRT,87000000.00,39000000.00
2010,MWI,17000000.00,6000000.00
2010,NER,12000000.00,3000000.00
2010,NGA,0.00,1000000.00
2010,NIC,122000000.00,135000000.00
2010,NPL,214000000.00,2000000.00
2010,PAK,10802000000.00,3501000000.00
2010,PAN,269000000.00,0.00
2010,PER,2027000000.00,380000000.00
2010,PHL,13177000000.00,1199000000.00
2010,PNG,279000000.00,0.00
2010,POL,87000000.00,5396000000.00
2010,ROU,708000000.00,107000000.00
2010,RUS,0.00,0.00
2010,SDN,879000000.00,3401000000.00
2010,SEN,124000000.00,234000000.00
2010,SLE,105000000.00,0.00
2010,SLV,638000000.00,5000000.00
2010,SOM,441000000.00,1105000000.00
2010,SRB,379000000.00,2163000000.00
2010,STP,1000000.00,25000000.00
2010,SUR,11000000.00,15000000.00
2010,SYC,51000000.00,32000000.00
2010,TCD,7000000.00,51000000.00
2010,TGO,119000000.00,452000000.00
2010,TJK,0.00,0.00
2010,TTO,2000000.00,100000000.00
2010,TUR,5500000000.00,610000000.00
2010,TZA,407000000.00,22000000.00
2010,UKR,147000000.00,1494000000.00
2010,VCT,13000000.00,0.00
2010,VNM,11372000000.00,1221000000.00
2010,WSM,8147565.24,0.00
2010,YEM,512000000.00,0.00
2010,ZMB,2000000.00,99000000.00
2011,AFG,0.00,984000000.00
2011,AGO,162000000.00,40000000.00
2011,ALB,494000000.00,33000000.00
2011,ARG,878000000.00,5789000000.00
2011,ATG,4000000.00,96000000.00
2011,BDI,1000000.00,0.00
2011,BEN,11000000.00,32000000.00
2011,BFA,124000000.00,0.00
2011,BGR,382000000.00,376000000.00
2011,BIH,250000000.00,522000000.00
2011,BOL,85000000.00,2000000.00
2011,BRA,1502000000.00,1515000000.00
2011,CAF,0.00,6000000.00
2011,CHL,139000000.00,4000000.00
2011,CIV,4242000000.00,2496000000.00
2011,CMR,975000000.00,27000000.00
2011,COD,400000000.00,951000000.00
2011,COG,248000000.00,187000000.00
2011,COM,3000000.00,10000000.00
2011,CPV,55000000.00,17000000.00
2011,CRI,293000000.00,0.00
2011,DJI,69000000.00,40000000.00
2011,DMA,9000000.00,10000000.00
2011,DOM,459000000.00,255000000.00
2011,DZA,1157000000.00,4768000000.00
2011,ECU,570000000.00,360000000.00
2011,EGY,10933000000.00,4815000000.00
2011,ETH,297000000.00,163000000.00
2011,FJI,18000000.00,1000000.00
2011,GAB,135000000.00,143000000.00
2011,GEO,309000000.00,114000000.00
2011,GHA,536000000.00,358000000.00
2011,GIN,326000000.00,405000000.00
2011,GMB,2000000.00,1000000.00
2011,GNB,12000000.00,108000000.00
2011,GNQ,0.00,22000000.00
2011,GRD,4000000.00,6000000.00
2011,GTM,315000000.00,0.00
2011,GUY,5000000.00,0.00
2011,HND,169000000.00,2000000.00
2011,HRV,5000000.00,0.00
2011,HTI,0.00,0.00
2011,IDN,31916000000.00,8302000000.00
2011,IRQ,772000000.00,9780000000.00
2011,JAM,333000000.00,18000000.00
2011,JOR,2053000000.00,518000000.00
2011,KEN,2109000000.00,213000000.00
2011,KGZ,431000000.00,498000000.00
2011,KHM,496000000.00,1404000000.00
2011,KNA,6000000.00,0.00
2011,LBR,77000000.00,0.00
2011,LCA,11000000.00,0.00
2011,LKA,5661000000.00,179000000.00
