iso,name_en_wb,wb_status,name_fr_csv,in_apd_dataset
ABW,Aruba (Neth.),Territory,,False
AFG,Afghanistan,Member State,Afghanistan,True
AGO,Angola,Member State,Angola,True
AIA,Anguilla (U.K.),Territory,,False
ALA,Aaland (Fin.),Territory,,False
ALB,Albania,Member State,Albanie,True
AND,Andorra,Member State,,False
ARE,United Arab Emirates,Member State,Émirats Arabes Unis,True
ARG,Argentina,Member State,Argentine,True
ARM,Armenia,Member State,Arménie,True
ASM,American Samoa (U.S.),Territory,,False
ATF,French Southern and Antarctic Lands (Fr.),Territory,,False
ATG,Antigua and Barbuda,Member State,Antigua-et-Barbuda,True
AUS,Australia,Member State,Australie,True
AUT,Austria,Member State,Autriche,True
AZE,Azerbaijan,Member State,Azerbaïdjan,True
BDI,Burundi,Member State,Burundi,True
BEL,Belgium,Member State,Belgique,True
BEN,Benin,Member State,Bénin,True
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",Territory,,False
BFA,Burkina Faso,Member State,Burkina Faso,True
BGD,Bangladesh,Member State,Bangladesh,True
BGR,Bulgaria,Member State,Bulgarie,True
BHR,Bahrain,Member State,Bahreïn,True
BHS,The Bahamas,Member State,,False
BIH,Bosnia and Herzegovina,Member State,Bosnie-Herzégovine,True
BLM,Saint-Barthélemy (Fr.),Territory,,False
BLR,Belarus,Member State,Biélorussie,True
BLZ,Belize,Member State,Belize,True
BMU,Bermuda (U.K.),Territory,,False
BOL,Bolivia,Member State,Bolivie,True
BRA,Brazil,Member State,Brésil,True
BRB,Barbados,Member State,Barbade,True
BRN,Brunei Darussalam,Member State,Brunei,True
BTN,Bhutan,Member State,,False
BVT,Bouvet Island (Nor.),Territory,,False
BWA,Botswana,Member State,Botswana,True
CAF,Central African Republic,Member State,Centrafrique,True
CAN,Canada,Member State,Canada,True
CCK,Cocos (Keeling) Islands (Aus.),Territory,,False
CHE,Switzerland,Member State,Suisse,True
CHL,Chile,Member State,Chili,True
CHN,China,Member State,Chine,True
